인덱스,코드,구분,FAQ 답변 ,FAQ  질문 ,tag,link_url_adr
80,,112,"조회되는 예약 가능 금액은 대기예약 등록한 지점에 배정되는 금액입니다. 그러므로 예약가능금액이 있어도 예약신청 업무는 하실 수 없으니, 대기예약을 신청 하셔야 합니다.",Q2. 예약 마감 후에 예약된 지점에서 예약금액을 취소하게 되면 예약신청을 해도 되나요?,,
81,,112,"- 일반해지는 신청일 익일 해지 완료됩니다. 단, 당일 매매내역이 있는 경우 신청일 기준 3영업일째 일반해지 처리됩니다.",Q2. 일반해지시 해지처리 기간은 얼마나 되나요?,,
82,,112,- 선취수수료는 입금시에만 발생하는 수수료로 최초 계약시 또는 추가 입금시에 징수합니다. 따라서 1년이 지난 후에는 추가 선취수수료 징수는 없이 후취 기본 수수료만 발생하게 됩니다.,Q2. 일반형의 선취수수료는 매년 징수하게 되나요?,,
83,,112,"해지신청방식은 크게 중도해지와 일부해지 신탁상품에 따라 해지가능 및 해지구분의 제약이 있으므로, 신탁상품별로 중도해지가 가능한지, 일부해지가 가능한지 등을 신탁파트와 확인하고 진행해야 합니다.",Q2. 특정금전신탁 해지신청(출금)시 신청방식은 어떻게 되나요?,,
84,,112,"  - 고객에게 교부해야 할 서류는 특정금전신탁계약서(고객용), 특정금전신탁상품설명서, 특정금전신탁 설명서 교부 및 주요내용 설명 확인서(고객보관용) 입니다. ",Q2. 특정금전신탁상품을 신규 계약 시 고객에게 교부해야 하는 서류는 어떤 것이 있나요?,,
85,,112,- 방카시스템을 통해서만 가능합니다. 방카시스템 > 계약관리 > 계약조회 >[4102] 보험계약상세조회 화면에서 내역 조회가 가능합니다.,Q3. 고객이 보험증권번호를 불러주시는데 이글 프로에서 조회 가능한가요?,,
86,,112,- ‘단위형’ 상품은 고객과 1년 단위로 운용하기로 약속된 상품으로 추가 연장에 대한 동의가 필요하여 부득이 ‘만기 갱신 처리’를 해야 합니다.,Q3. 단위형 상품은 왜 영업점에서 갱신처리 업무를 해야 하나요?,,
87,,112,"  - MMT신탁,채권맞춤형신탁 등(특정한 종목이 아닌 MMDA, 기업어음 등 상품군을 운용지시)이 있습니다.",Q3. 대표적인 비지정형 신탁상품은 어떤 것이 있나요?,,
88,,112,관리자 변경은 방카시스템 메뉴 계약관리 > 관리자변경 > [4152]건별 관리자조회 및 변경에서 처리 가능합니다.,Q3. 방카슈랑스 계약에 대한 관리자를 변경하고 싶습니다. 이글 프로에서 관리자 변경을 하면 되나요?,,
89,,112,"- 방카시스템은 Internet Explorer8.0 이상만 조회 가능하고 크롬, 파어폭스 지원하지 않습니다. Internet Explorer8.0 설정 방법은 도구 > 호환성 보기 설정(B) > 하단 체크박스 3개중 “호환성 보기에서 모든 웹 사이트 표시(E)” 체크 해제를 하시면 됩니다.",Q3. 방카시스템 화면이 안보이거나 구동이 안되는 경우가 있습니다. 어떻게 하나요?,,
90,,112,- 선취수수료는 1년 이전에 해지시 미 경과분에 대하여 일할 계산하여 환급해드리게 되어있습니다(공정거래위원회 권고사항),Q3. 선취수수료 납부하고 1년이내에 해지처리 했습니다. 수수료는 돌려 받을 수 있나요?,,
91,,112,이에 당사는 분기말에 원천징수특례를 일괄 처리하고 있습니다. 원천징수특례 처리된 계좌에는 거래구분이 “신탁원천징수”라고 표시됩니다.,Q3. 신탁 상품의 원천징수를 하는 시점은 언제인가요?,,
92,,112,일반상품과 변액상품으로 분류하여 가입설계와 청약단계 업무에서 발생하는 출력물을 송부해야 합니다. 상세 송부서류는 하단 표를 참고하시기 바랍니다.,Q3. 청약완료 후에 출력물이 많이 나옵니다. 본사에 송부해야할 서류는 무엇인가요?,,
93,,112,신규계약시 고객이 자동만기 해지 처리를 선택하지 않은 경우입니다.,Q3. 특정금전신탁 상품 중에 자동만기해지 처리가 되지 않는 계약이 있습니다. 어떤 경우인가요?,,
94,,112,"  - 당사 보관서류는 상단 “업무징구서류”의 징구서류와 특정금전신탁계약서(보관용), 특정금전신탁 설명서 교부 및 주요내용 설명 확인서(판매회사보관용)이 있습니다.",Q3. 특정금전신탁상품을 신규 계약시 회사에서 보관해야하는 서류는 어떤 것이 있나요?,,
95,,112,- [23013] Wrap 해지내역조회 화면에서 해지완료예정일 조회가 가능합니다.,Q3. 해지처리 후 완료예정일을 조회할수 있는 화면이 있나요?,,
96,,112,"고객의 계좌에 “신탁원천징수” 거래내역은 그 시점에 신탁재산내에 발생한 소득을 과세확정하여 세금정산을 한 것입니다. 세금을 정산시 원천징수 납부세액이 발생하면 신탁재산에서 출금한 금액이 거래금액으로 표시되지만, 계좌의 예수금변동은 없습니다. 거래내역이 “0”원으로 있는 경우에는 과세소득이 확정되면서 납부할 세금이 없는 것을 말합니다.",Q4. 거래내역에 “신탁원천징수”라는 내역이 있습니다. 세금을 계좌에서 차감한 건가요?,,
97,,112,- 성과보수형’ 상품은 1년 단위 계약상품으로 만기 도래 전 갱신 신청을 하셔야만 만기가 연장됩니다. (1년 단위 성과보수 정산처리),Q4. 성과보수형 상품은 만기연장 시점은 언제인가요?,,
98,,112,관리자 조회는 방카시스템 메뉴 계약관리 > 관리자변경관리 > [4151]관리자미지정 목록조회화면에서 조회 가능합니다.,Q4. 저희지점 방카슈랑스 계약 건 중에서 미관리로 지정된 계약을 전체 조회하고 싶습니다. 어디서 조회가능 한가요?,,
99,,112,"- 중도해지수수료는 선취수수료의 80%(0.8%)를 징구하게 되어있습니다. 즉, 고객이 선취수수료(1%)가 있는 일반형을 계약한 후 1년 이내에 해지를 하게 되면 선취수수료의 80%(0.8%)는 중도해지수수료로 징구하게 되므로 나머지 20%(0.2%)에 대해서만 미경과 기간에 대해 일할 계산하여 환급 처리해 드립니다.",Q4. 중도해지 수수료는 무엇인가요?,,
100,,112,"- 청산해지는 자산을 매도, 결제일까지 시간이 소요되므로 신청일 기준 4영업일에 해지 완료됩니다.",Q4. 청산해지시 해지처리 기간은 얼마나 되나요?,,
101,,112,"- Internet Explorer8.0의 파일(F) -> 페이지설정(U) -> 여백(밀리미터)의 왼쪽, 오른쪽, 위쪽, 아래쪽 전부 ""19.5""로 변경하시면 됩니다.",Q4. 출력물이 잘려서 나옵니다. 어디서 조정해야 할까요?,,
102,,112,"  - 청산해지 신청을 하면, 신청일 익일에 오전 동시호가, 오전, 오후에 걸쳐 분할 매도하게 됩니다",Q5. Wrap 청산해지 신청시 청산 매도시점은 언제인가요?,,
103,,112,- 고객이 해지신청 즉시 매도를 원하는 경우에는 Wrap화면 에서 청산해지 신청을 하신 후 Wrap운용파트로 유선/메신저로 ‘즉시 매도’를 요청하시면 됩니다. 즉시 매도를 하시더라도 최종 해지 처리는 신청일 포함 4영업일째 완료됩니다.,Q6. Wrap 청산해지 신청시 고객이 신청당일에도 매도신청 할수 있나요?,,
104,,113,"네, 가능합니다.  단, 입고계좌가 종합매매계좌(11)로 등록된 경우만 청약이 가능합니다.",Q2. 금융상품계좌로 청약이 가능한가요?,,
105,,113,"아니오, 미수금액 이상 매도를 하더라도 매도대금이 d+2영업일에 입금되어 미수 발생 당일에는 미수금이 해소되지 않아 미수동결계좌로 지정 됩니다.",Q2. 미수 발생 당일 미수금액 만큼 매도를 하면 미수동결계좌로 지정이 안되나요?,,
106,,113,"아니오, 현물 주식 내에서만 반대매매가 나갑니다. ",Q2. 미수 발생으로 인한 반대매매 발생시 현물 주식이 없으면 보유한 신용/대출 종목에서 반대매매가 나가나요?,,
107,,113,"‘[12147]미수및미납/미수유가증권내역’ 화면에서
   미수금 및 연체료를 조회 할 수 있습니다.",Q2. 미수금이 있는 경우 ‘[12149]실질잔고’ 화면에서는 이자미납금만 조회가 되는데요,,
108,,113,"네, 가능합니다. 미수주문은 불가 하지만 신용 매수는 가능합니다.",Q2. 증거금 100% 계좌의 경우 신용 매수가 가능한가요?,,
109,,113,일반투자자와 동일하게 ‘[14198] 종합청약’ 화면에서 청약 신청을 합니다.,Q3. 기관투자자의 경우 어느 화면에서 청약 신청을 하나요?,,
110,,113,"네, 가능합니다. 미수 매수는 불가 하지만, 신용 매수는 가능합니다.
",Q3. 미수 동결 고객도 신용 매수가 가능한가요?,,
111,,113,거래 개시일 당일 또는 익영업일에 반대매매 처리 됩니다. . ,"Q3. 반대매매가 나갈 종목이 거래정지가 된 경우, 반대매매는 언제 처리되나요?",,
